Cycle_ID,Cycle
53,C1140118 -> C2347818 -> C0008902 -> C0021423 -> C0021424 -> C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C0201682 -> C0022885 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0030660 -> C3714634 -> C1138831 -> C0243064 -> C0005540 -> C0018757 -> C1518680 -> C0242481 -> C1516654 -> C0441655 -> C0412555 -> C0033052 -> C0017313 -> C0018747 -> C0086388 -> C0018684 -> C0025118 -> C0018722 -> C0028811 -> C0037414 -> C0014406 -> C0087111 -> C0184661 -> C0220965 -> C0242356 -> C0021428 -> C3888058 -> C0183336 -> C0025080 -> C0441065 -> C0699733 -> C0024912 -> C0520510 -> C1315023 -> C0015392 -> C0015450 -> C0018670 -> C0005898 -> C0229962 -> C0277745 -> C0277687 -> C0277587 -> C0277535 -> C0338067
54,C0005898 -> C0229962 -> C0700276
55,C0012240 -> C0226873
56,C0012240 -> C0226873 -> C0017189
57,C0226873 -> C0017189
58,C0005898 -> C0229962 -> C0700276 -> C0012240 -> C0226873 -> C0017189 -> C1182856 -> C1744602
59,C0700276 -> C0012240 -> C0226873 -> C0017189 -> C1182856 -> C1744602
60,C0700276 -> C0012240 -> C0226873 -> C0017189 -> C1182856 -> C1744602 -> C4241262
61,C0229962 -> C0700276 -> C0012240 -> C0226873 -> C0017189 -> C1517465
62,C0017189 -> C4040653
63,C1140118 -> C2347818 -> C0008902 -> C0021423 -> C0021424 -> C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C0201682 -> C0022885 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0030660 -> C3714634 -> C1138831 -> C0243064 -> C0005540 -> C0018757 -> C1518680 -> C0242481 -> C1516654 -> C0441655 -> C0412555 -> C0033052 -> C0017313 -> C0018747 -> C0086388 -> C0018684 -> C0025118 -> C0018722 -> C0028811 -> C0037414 -> C0014406 -> C0087111 -> C0184661 -> C0220965 -> C0242356 -> C0021428 -> C3888058 -> C0183336 -> C0025080 -> C0441065 -> C0699733 -> C0024912 -> C0520510 -> C1315023 -> C0015392 -> C0015450 -> C0018670 -> C0005898 -> C0229962 -> C0700276 -> C0012240 -> C0392918
64,C0005898 -> C0229962 -> C0700276 -> C0012240 -> C0460002
65,C0460148 -> C2324618
66,C0700276 -> C0012240 -> C0460002
67,C0229962 -> C0700276 -> C0012240 -> C0682591
68,C0700276 -> C0012240
69,C0700276 -> C0012240 -> C4082212
70,C0201682 -> C0022885 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0030660 -> C3714634 -> C1138831 -> C0243064 -> C0005540 -> C0018757 -> C1518680 -> C0242481 -> C1516654 -> C0441655 -> C0412555 -> C0033052 -> C0017313 -> C0018747 -> C0086388 -> C0018684 -> C0025118 -> C0018722 -> C0028811 -> C0037414 -> C0014406 -> C0087111 -> C0184661 -> C0220965 -> C0242356 -> C0021428 -> C3888058 -> C0183336 -> C0025080 -> C0441065 -> C0699733 -> C0024912 -> C0520510 -> C1315023 -> C0015392 -> C0015450 -> C0018670 -> C0005898 -> C0229962 -> C0700276 -> C0014136
71,C0700276 -> C0014136
72,C0700276 -> C0014136 -> C2334022 -> C1182742 -> C0927221
73,C0005898 -> C0229962 -> C0700276 -> C0014136 -> C2334022 -> C1182742 -> C0927221 -> C1179906 -> C0506706
74,C0700276 -> C0014136 -> C2334022 -> C1182742 -> C0927221 -> C1179906 -> C0506706
75,C0700276 -> C0020962
76,C0005898 -> C0229962 -> C0700276 -> C0150934 -> C0460004
77,C0005898 -> C0229962 -> C0700276 -> C0150934 -> C0460004 -> C0229963
78,C0229962 -> C0700276 -> C0150934 -> C0460004 -> C0229963 -> C1268087
79,C0282503 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C0201682 -> C0022885 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0030660 -> C3714634 -> C1138831 -> C0243064 -> C0005540 -> C0018757 -> C1518680 -> C0242481 -> C1516654 -> C0441655 -> C0412555 -> C0033052 -> C0017313 -> C0018747 -> C0086388 -> C0018684 -> C0025118 -> C0018722 -> C0028811 -> C0037414 -> C0014406 -> C0087111 -> C0184661 -> C0220965 -> C0242356 -> C0021428 -> C3888058 -> C0183336 -> C0025080 -> C0441065 -> C0699733 -> C0024912 -> C0520510 -> C1315023 -> C0015392 -> C0015450 -> C0018670 -> C0005898 -> C0229962 -> C0700276 -> C0150934 -> C0460004 -> C0807679 -> C1138431
80,C0025361 -> C0009240
